id,Statut,URL,Type,Série,Rubrique,Pilier,Titre de travail,Requête cible,Requêtes secondaires,Auteur,Interviewé,Mois,Date prévue,Date publiée,Priorité,Responsable,Image OG,Vidéo (ID),Conditions,Rafraîchit,Pièce liée,Fonctionnalités,Diffusion,Angle,Fichier du brief,Indexé (site)
P059,Idée,,texte,Nouveautés produit,,P5 Produit,Nouveautés produit de mars 2027 (à préciser),aucune,,L'équipe CheckIA,,2027-03,2027-03-18,,normale,Chloe,generee,,Fonctionnalités du mois identifiées — non,,,,,Article produit mensuel.,content-plan/briefs/P059-produit-mars-2027.md,—
P060,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,Paroles de commissaires aux comptes n° 6 (invité à confirmer),aucune,,L'équipe CheckIA,Invité à confirmer,2027-03,2027-03-23,,normale,Chloe,video,,Interviewé confirmé — non,,,,,Entretien mensuel.,content-plan/briefs/P060-paroles-cac-06.md,—
P061,Idée,,refresh,,,P1 IA et CAC,Rafraîchissement du guide « IA et commissariat aux comptes » après la Journée Confiance Numérique,aucune,,L'équipe CheckIA,,2027-03,2027-03-25,,normale,Chloe,generee,,,P006,,,,"Intégrer les annonces CNCC de mars 2027, mettre à jour les chiffres et la date de modification.",content-plan/briefs/P061-refresh-guide-ia-2027.md,—
P062,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Honoraires du commissaire aux apports : repères 2027,honoraires commissaire aux apports,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-04,2027-04-01,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Question très posée (créateurs et cabinets) : fourchettes observées, facteurs de prix, temps réel passé (résultats du Baromètre).",content-plan/briefs/P062-honoraires-commissaire-aux-apports-2027.md,—
P063,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Apport en nature et apport de titres : différences pratiques pour le commissaire aux apports,aucune,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-04,2027-04-06,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Pièces, méthodes d'évaluation, points de vigilance selon la nature de l'apport.",content-plan/briefs/P063-apport-en-nature-vs-apport-de-titres.md,—
P064,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,"Les prompts à éviter en cabinet de commissaires aux comptes, et leurs alternatives",aucune,,L'équipe CheckIA,,2027-04,2027-04-08,,normale,Chloe,generee,,,,,,,"Angle pédagogique : données client dans un assistant public, hallucinations, absence de contexte dossier ; alternatives sûres.",content-plan/briefs/P064-prompts-a-eviter-cabinet.md,—
P065,Idée,,texte,Le futur de l'audit,,P3 Logiciel CAC,Logiciel dédié ou suite bureautique avec IA générique : comparatif pour les missions spécifiques,aucune,,L'équipe CheckIA,,2027-04,2027-04-13,,normale,Chloe,generee,,,,,,,"Comparaison honnête : coût, confidentialité, cohérence des documents, traçabilité.",content-plan/briefs/P065-logiciel-dedie-vs-bureautique-ia-generique.md,—
P066,Idée,,texte,Nouveautés produit,,P5 Produit,Nouveautés produit d'avril 2027 (à préciser),aucune,,L'équipe CheckIA,,2027-04,2027-04-15,,normale,Chloe,generee,,Fonctionnalités du mois identifiées — non,,,,,Article produit mensuel.,content-plan/briefs/P066-produit-avril-2027.md,—
P067,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,Paroles de commissaires aux comptes n° 7 : apports et créateurs d'entreprise (GO Entrepreneurs),aucune,,L'équipe CheckIA,Invité à confirmer,2027-04,2027-04-20,,normale,Chloe,video,,Interviewé confirmé — non,,,,,Entretien tourné autour du salon GO Entrepreneurs (28–29 avril 2027) : ce que les créateurs ignorent du commissariat aux apports.,content-plan/briefs/P067-paroles-cac-07-go-entrepreneurs.md,—
P068,Idée,,temoignage,Témoignages clients,,P4 Paroles de CAC,Troisième témoignage client (cabinet à confirmer),aucune,,L'équipe CheckIA,,2027-04,2027-04-22,,normale,Chloe,video,,Cabinet client volontaire identifié — non,,,,,Témoignage vidéo trimestriel.,content-plan/briefs/P068-temoignage-client-03.md,—
P069,Idée,,refresh,,,P1 IA et CAC,Rafraîchissement de deux articles de 2026 (à choisir selon le suivi des citations),aucune,,L'équipe CheckIA,,2027-04,2027-04-27,,normale,Chloe,generee,,,P013,,,,"Choisir les deux articles les moins cités ou les plus datés ; mettre à jour faits, dates et FAQ.",content-plan/briefs/P069-refresh-avril-2027.md,—
P070,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Checklist du dossier de commissariat aux apports : les points à vérifier avant archivage,aucune,,L'équipe CheckIA,,2027-05,2027-05-04,,normale,Chloe,generee,,,,,,,"Liste de contrôle en fin de mission : complétude, signatures, liens vers les pièces, points ouverts.",content-plan/briefs/P070-checklist-dossier-commissariat-aux-apports.md,—
P071,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,"Lettre d'affirmation en mission spécifique : rôle, contenu et moment de signature",aucune,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-05,2027-05-06,,normale,JD,generee,,"Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Pourquoi la demander, ce qu'elle couvre, ce qu'elle ne remplace pas.",content-plan/briefs/P071-lettre-d-affirmation-role-modele.md,—
P072,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,Former ses collaborateurs à l'IA : plan de formation et preuves à conserver,aucune,,L'équipe CheckIA,,2027-05,2027-05-11,,normale,Chloe,generee,,,,,,,"Répondre à l'obligation de littératie IA et aux attentes H2A : contenu, fréquence, traces.",content-plan/briefs/P072-former-collaborateurs-ia-preuves-h2a.md,—
P073,Idée,,texte,Nouveautés produit,,P5 Produit,Nouveautés produit de mai 2027 (à préciser),aucune,,L'équipe CheckIA,,2027-05,2027-05-13,,normale,Chloe,generee,,Fonctionnalités du mois identifiées — non,,,,,Article produit mensuel.,content-plan/briefs/P073-produit-mai-2027.md,—
P074,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,Paroles de commissaires aux comptes n° 8 (invité à confirmer),aucune,,L'équipe CheckIA,Invité à confirmer,2027-05,2027-05-18,,normale,Chloe,video,,Interviewé confirmé — non,,,,,Entretien mensuel.,content-plan/briefs/P074-paroles-cac-08.md,—
P075,Idée,,refresh,,,P2 Missions spécifiques,Rafraîchissement du guide « Commissariat aux apports » et d'un article NEP,aucune,,L'équipe CheckIA,,2027-05,2027-05-20,,normale,Chloe,generee,,,P005,,,,"Mettre à jour les chiffres INSEE, les exemples CNCC et la date de modification.",content-plan/briefs/P075-refresh-mai-2027.md,—
P076,Idée,,refresh,,,P1b NEP,Rafraîchissement de l'article NEP 911/912 après un an d'application,aucune,,L'équipe CheckIA,,2027-05,2027-05-25,,normale,Chloe,generee,,,P011,,,,"Retours d'application, questions fréquentes remontées, mise à jour.",content-plan/briefs/P076-refresh-mai-2027-bis.md,—
P077,Idée,,texte,Le futur de l'audit,,P1 IA et CAC,Baromètre CNCC 2027 : ce que les chiffres disent aux cabinets,aucune,,Cofondateur commissaire aux comptes (nom à confirmer),,2027-06,2027-06-01,,normale,JD,generee,,"Baromètre CNCC 2027 publié — non ; Auteur CAC nommé (nom, titre, LinkedIn) — non",,,,,"Lecture commentée du 7e baromètre (attendu en juin 2027) : mandats, honoraires, adoption de l'IA ; comparaison avec 2026.",content-plan/briefs/P077-barometre-cncc-2027-lecture.md,—
P078,Idée,,texte,Le futur de l'audit,,P2 Missions spécifiques,Assemblée du 30 juin : ce que le commissaire à la transformation doit avoir remis huit jours avant,aucune,,L'équipe CheckIA,,2027-06,2027-06-03,,normale,Chloe,generee,,,,,,,"Rappel calendaire adossé à L. 224-3 : rétroplanning, pièces, sanction de nullité.",content-plan/briefs/P078-ag-30-juin-commissaire-transformation-8-jours.md,—
P079,Idée,,texte,Le futur de l'audit,,P3 Logiciel CAC,Sécurité d'un logiciel CAC : les douze questions à poser à l'éditeur,sécurité logiciel CAC,,L'équipe CheckIA,,2027-06,2027-06-08,,normale,Chloe,generee,,,,,,,"Grille d'évaluation : hébergement, chiffrement, sous-traitants, entraînement des modèles, journalisation, réversibilité.",content-plan/briefs/P079-securite-logiciel-cac-12-questions.md,—
P080,Idée,,texte,Nouveautés produit,,P5 Produit,Nouveautés produit de juin 2027 (à préciser),aucune,,L'équipe CheckIA,,2027-06,2027-06-10,,normale,Chloe,generee,,Fonctionnalités du mois identifiées — non,,,,,Article produit mensuel.,content-plan/briefs/P080-produit-juin-2027.md,—
P081,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,Paroles de commissaires aux comptes n° 9 (invité à confirmer),aucune,,L'équipe CheckIA,Invité à confirmer,2027-06,2027-06-15,,normale,Chloe,video,,Interviewé confirmé — non,,,,,Entretien mensuel.,content-plan/briefs/P081-paroles-cac-09.md,—
P082,Idée,,temoignage,Témoignages clients,,P4 Paroles de CAC,Quatrième témoignage client (cabinet à confirmer),aucune,,L'équipe CheckIA,,2027-06,2027-06-17,,normale,Chloe,video,,Cabinet client volontaire identifié — non,,,,,Témoignage vidéo trimestriel.,content-plan/briefs/P082-temoignage-client-04.md,—
P083,Idée,,refresh,,,P3 Logiciel CAC,Rafraîchissement trimestriel du panorama des logiciels CAC (T2 2027),aucune,,L'équipe CheckIA,,2027-06,2027-06-22,,normale,Chloe,generee,,,P012,,,,Mise à jour trimestrielle du panorama.,content-plan/briefs/P083-refresh-panorama-t2-2027.md,—
P084,Idée,,refresh,,,P1 IA et CAC,Cycle d'été : rafraîchissement du guide IA et de la charte IA,aucune,,L'équipe CheckIA,,2027-07,2027-07-01,,normale,Chloe,generee,,,P013,,,,Mise à jour annuelle des deux articles les plus cités du pilier IA.,content-plan/briefs/P084-refresh-ete-2027-top-1.md,—
P085,Idée,,refresh,,,P2 Missions spécifiques,Cycle d'été : rafraîchissement du rapport et de la lettre de mission du commissaire aux apports,aucune,,L'équipe CheckIA,,2027-07,2027-07-06,,normale,Chloe,generee,,,P014,,,,Mise à jour annuelle.,content-plan/briefs/P085-refresh-ete-2027-top-2.md,—
P086,Idée,,texte,Vie de l'entreprise,,P6 Entreprise,Un an de blog : ce que les commissaires aux comptes nous ont demandé,aucune,,L'équipe CheckIA,,2027-07,2027-07-08,,normale,Chloe,generee,,,,,,,"Bilan : les questions les plus posées, les articles les plus cités par les assistants, ce que nous en tirons.",content-plan/briefs/P086-un-an-de-blog-questions-des-cac.md,—
P087,Idée,,linkedin,,,Hors site,Lancement de la deuxième édition du Baromètre de la formalisation,aucune,,L'équipe CheckIA,,2027-07,2027-07-13,,normale,Chloe,,,,,,,,"Reprendre le questionnaire, comparer avec 2027.",content-plan/briefs/P087-barometre-formalisation-2028-lancement.md,—
P088,Idée,,texte,Nouveautés produit,,P5 Produit,Nouveautés produit de juillet 2027 (à préciser),aucune,,L'équipe CheckIA,,2027-07,2027-07-15,,normale,Chloe,generee,,Fonctionnalités du mois identifiées — non,,,,,Article produit mensuel.,content-plan/briefs/P088-produit-juillet-2027.md,—
P089,Idée,,video,Le futur de l'audit,,P1 IA et CAC,Universités d'été 2027 : ce que nous présenterons aux commissaires aux comptes,aucune,,L'équipe CheckIA,,2027-08,2027-08-03,,normale,Chloe,video,,Participation confirmée — non,,,,,Vidéo courte de préparation des Universités d'été (début septembre 2027).,content-plan/briefs/P089-universites-d-ete-2027-preparation.md,—
P090,Idée,,video,Le futur de l'audit,paroles-de-cac,P4 Paroles de CAC,Paroles de commissaires aux comptes n° 10 (invité à confirmer),aucune,,L'équipe CheckIA,Invité à confirmer,2027-08,2027-08-05,,normale,Chloe,video,,Interviewé confirmé — non,,,,,Entretien mensuel.,content-plan/briefs/P090-paroles-cac-10.md,—
P091,Idée,,refresh,,,P1b NEP,Cycle d'été : rafraîchissement des articles NEP 320 et NEP 300,aucune,,L'équipe CheckIA,,2027-08,2027-08-10,,normale,Chloe,generee,,,P021,,,,Mise à jour annuelle.,content-plan/briefs/P091-refresh-ete-2027-top-3.md,—
P092,Idée,,refresh,,,P6 Entreprise,Cycle d'été : rafraîchissement des pages Sécurité et Équipe,aucune,,L'équipe CheckIA,,2027-08,2027-08-12,,normale,Chloe,generee,,,P007,,,,Mettre à jour les faits produit et l'équipe.,content-plan/briefs/P092-refresh-ete-2027-top-4.md,—
P093,Idée,,texte,Nouveautés produit,,P5 Produit,Nouveautés produit de l'été 2027 (à préciser),aucune,,L'équipe CheckIA,,2027-08,2027-08-17,,normale,Chloe,generee,,Fonctionnalités identifiées — non,,,,,Article produit.,content-plan/briefs/P093-produit-aout-2027.md,—
